unix,low,high,open,close,volume,date,vol_fiat
1700611200,35633.0,37875.0,35755.33,37424.31,17606.97239528,2023-11-22,658928793.0824013
1700524800,35744.9,37675.77,37472.76,35751.89,20837.73934338,2023-11-21,744988564.8531939
1700438400,36720.0,37784.07,37389.06,37475.64,14114.01039926,2023-11-20,528931572.678924
1700352000,36404.52,37546.62,36596.14,37391.19,4366.44892344,2023-11-19,163266721.3216405
1700265600,36205.89,36857.15,36631.56,36594.89,3468.39821362,2023-11-18,126925651.10362041
1700179200,35869.0,36831.99,36161.15,36630.38,12218.85138403,2023-11-17,447581169.3605448
1700092800,35511.11,37958.75,37885.35,36161.15,18455.96829165,2023-11-16,667389037.7895994
1700006400,35358.45,37987.0,35554.1,37885.35,19941.6757032,2023-11-15,755497363.602228
1699920000,34758.64,36756.16,36475.68,35554.09,16008.49077729,2023-11-14,569167321.8599386
1699833600,36351.0,37442.48,37086.5,36475.67,10543.29564712,2023-11-13,384573772.73678553
1699747200,36740.9,37247.0,37139.94,37086.03,3317.50278576,2023-11-12,123033007.83777893
1699660800,36701.5,37424.03,37324.84,37139.12,5344.45382766,2023-11-11,198488312.03992406
1699574400,36334.46,37548.8,36704.01,37324.83,15181.1682642,2023-11-10,566634524.6626601
1699488000,35555.16,37999.0,35639.13,36706.59,29045.63709695,2023-11-09,1066166292.2065338
1699401600,35103.14,36113.59,35416.63,35639.13,12253.04717936,2023-11-08,436687941.3213444
1699315200,34530.67,35963.0,35059.46,35416.28,13841.59195597,2023-11-07,490217696.35838115
1699228800,34753.66,35294.12,35035.79,35059.46,7088.27217192,2023-11-06,248510994.68054235
1699142400,34500.0,35410.0,35087.43,35035.42,5892.67329337,2023-11-05,206452283.75600114
1699056000,34599.85,35278.4,34730.32,35087.01,4696.62281508,2023-11-04,164790451.67894012
1698969600,34100.0,34954.6,34947.92,34731.27,13960.85628785,2023-11-03,484878269.16451603
1698883200,34311.73,35997.8,35440.1,34950.0,13455.65527035,2023-11-02,470275151.6987325
1698796800,34079.46,35647.19,34656.38,35440.1,16196.30263792,2023-11-01,573998585.1181486
1698710400,34038.79,34732.18,34493.51,34656.4,9281.37651426,2023-10-31,321659097.0288003
1698624000,34077.9,34871.0,34534.48,34493.79,10183.35509429,2023-10-30,351262512.1178695
1698537600,33937.31,34763.0,34085.42,34534.48,5547.09585659,2023-10-29,191566070.91749024
1698451200,33867.38,34500.0,33905.96,34085.42,4372.52724873,2023-10-28,149039427.7344065
1698364800,33400.0,34249.99,34153.35,33906.09,13879.04330119,2023-10-27,470584091.2840452
1698278400,33735.86,34843.04,34504.33,34154.71,15867.44697165,2023-10-26,541948049.757084
1698192000,33690.91,35144.0,33921.66,34506.35,18668.45817435,2023-10-25,644180351.724482
1698105600,32851.45,35157.23,33079.72,33922.52,38506.35962554,2023-10-24,1306232754.5245728
1698019200,29890.89,35000.0,30004.14,33087.58,33228.46734771,2023-10-23,1099449571.6447425
1697932800,29670.0,30275.0,29925.91,30004.15,5720.28965895,2023-10-22,171632428.97058463
1697846400,29475.06,30369.0,29684.73,29924.84,6369.9347533,2023-10-21,190619278.30294198
1697760000,28591.85,30248.0,28734.51,29684.73,20095.91529217,2023-10-20,596541819.5509375
1697673600,28122.57,28938.96,28326.24,28735.34,12662.68000489,2023-10-19,363866415.25171584
1697587200,28151.6,28999.98,28408.51,28326.51,11820.68114047,2023-10-18,334838642.53233486
1697500800,28083.19,28637.21,28520.24,28408.83,14171.43180714,2023-10-17,402593797.06563306
1697414400,27135.92,30000.0,27186.13,28520.24,36471.7502374,2023-10-16,1040183069.9907051
1697328000,26806.06,27301.37,26851.71,27186.13,6215.85130529,2023-10-15,168984941.64628363
1697241600,26797.0,26988.12,26863.54,26851.71,2786.76009652,2023-10-14,74829273.95132704
1697155200,26662.62,27122.24,26752.06,26863.53,8694.0854594,2023-10-13,233553825.56115565
1697068800,26537.72,26939.55,26867.97,26750.51,7881.20407108,2023-10-12,210826228.31546625
1696982400,26521.32,27478.61,27393.28,26869.19,16466.26612207,2023-10-11,442435233.024462
